GRADE,VD/NVD,Batch Number,Date,tap_wt_from_EAF,LIFTING TEMP_LRF,TEMP OPENING_LRF,al ingot_kg__during_EAF_tapping,LIME_LRF,SPAR,OXY_EAF,LRF_Initial_Chemistry_C,LRF_Initial_Chemistry_MN,LRF_Initial_Chemistry_S,LRF_Initial_Chemistry_SI,LRF_Initial_Chemistry_AL,LRF_Initial_Chemistry_N2,Total_Al_LRF_kg,LRF_Final_Chemistry_AL,LRF_Final_Chemistry_C,LRF_Final_Chemistry_MN,Final_S,Final_SI,LRF_Final_Chemistry_N2,GRADE_KEY,C_Target,Mn_Target,Si_Target,Al_Target,C_Min,C_Max,Mn_Min,Mn_Max,Si_Min,Si_Max,Al_Min,Al_Max,N_Max,S_Max,Carbon_Gap,Mn_Gap,Si_Gap,Al_Gap,Mean_Oxygen,Samples
JSPHTHSV,NVD,4617044.0,,108.0,1590.0,1505.0,132.0,1200.0,25.0,3276.0,0.073,0.91,0.057,0.108,0.011,51.0,406.9,0.033,0.186,1.32,0.006,0.2059,63.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.117,0.4149999999999999,0.092,,445.4,35.0
SAE10B35S3,VD,4617045.0,,92.0,1565.0,1505.0,132.0,1400.0,25.0,3962.0,0.148,0.6,0.056,0.125,0.09,47.0,347.5,0.036,0.354,0.82,0.003,0.228,61.0,SAE10B35S3,,,,,,,,,,,,,,,,,,,436.781728873635,
SAE10B35S4,VD,4617046.0,,93.0,1565.0,1505.0,132.0,1500.0,25.0,3826.0,0.155,0.55,0.0519,0.096,0.016,44.0,413.5,0.036,0.338,0.79,0.005,0.2129,58.0,SAE10B35S4,,,,,,,,,,,,,,,,,,,258.0,1.0
JSPHTHSV,NVD,4617047.0,,100.0,1580.0,1505.0,132.0,1500.0,25.0,3028.0,0.163,1.01,0.049,0.131,0.057,45.0,314.5,0.033,0.183,1.34,0.008,0.1739,61.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.0269999999999999,0.3149999999999999,0.069,,445.4,35.0
JSPHTHSV,NVD,4617048.0,,99.0,1580.0,1505.0,132.0,1320.0,25.0,3202.0,0.167,1.03,0.047,0.139,0.029,54.0,340.9,0.034,0.184,1.34,0.01,0.187,64.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.0229999999999999,0.2949999999999999,0.061,,445.4,35.0
SAE10B35SS,VD,4617049.0,,94.0,1568.0,1505.0,132.0,1400.0,25.0,3972.0,0.512,0.51,0.0509,0.1179,0.02,43.0,367.3,0.039,0.32,0.77,0.003,0.201,57.0,SAE10B35SS,,,,,,,,,,,,,,,,,,,524.5,4.0
SAE10B35SS,VD,4617050.0,,95.0,1565.0,1505.0,132.0,1430.0,25.0,3034.0,0.037,0.54,0.0529,0.117,0.108,47.0,314.5,0.033,0.315,0.77,0.002,0.199,57.0,SAE10B35SS,,,,,,,,,,,,,,,,,,,524.5,4.0
JSPHTHSV,NVD,4617051.0,,99.0,1615.0,1505.0,132.0,1200.0,25.0,3431.0,0.068,1.08,0.0509,0.169,0.123,61.0,284.8,0.025,0.177,1.31,0.004,0.202,64.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.122,0.2449999999999998,0.031,,445.4,35.0
SAE10B35SS,VD,4617052.0,,97.0,1580.0,1505.0,132.0,1450.0,25.0,3757.0,0.188,0.58,0.055,0.127,0.097,48.0,283.15,0.022,0.309,0.76,0.003,0.1799,54.0,SAE10B35SS,,,,,,,,,,,,,,,,,,,524.5,4.0
JSPHTHSV(VD),VD,4617053.0,,97.0,1578.0,1505.0,132.0,1250.0,25.0,3505.0,0.222,1.15,0.0509,0.1789,0.076,51.0,298.0,0.035,0.187,1.31,0.004,0.227,60.0,JSPHTHSVVD,,,,,,,,,,,,,,,,,,,290.0,1.0
JSPHTHSV(VD),VD,4617054.0,,94.0,1580.0,1505.0,132.0,1200.0,25.0,3929.0,0.224,0.54,0.0509,0.12,0.115,44.0,265.0,0.035,0.189,1.32,0.006,0.2,60.0,JSPHTHSVVD,,,,,,,,,,,,,,,,,,,290.0,1.0
JSPHTHSV(VD),VD,4617055.0,,103.0,1580.0,1505.0,132.0,1300.0,25.0,3692.0,0.229,1.0,0.0539,0.125,0.014,55.0,380.5,0.03,0.184,1.31,0.004,0.253,73.0,JSPHTHSVVD,,,,,,,,,,,,,,,,,,,290.0,1.0
JSPHTHSV,NVD,4617056.0,,99.0,1590.0,1505.0,132.0,1250.0,25.0,3546.0,0.239,1.05,0.0599,0.1409,0.06,51.0,321.1,0.024,0.175,1.33,0.007,0.2109,64.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,-0.0489999999999999,0.2749999999999999,0.0591,,445.4,35.0
AISI12L14-1,NVD,4617057.0,,99.0,1615.0,1505.0,0.0,600.0,25.0,3530.0,0.032,0.68,0.315,0.101,0.373,55.0,100.0,0.001,0.084,1.22,0.3029,0.034,61.0,AISI12L141,,1.12,,,,0.08,1.07,1.17,,0.1,,0.01,70.0,0.35,,0.44,,,896.5,2.0
AISI12L14-1,NVD,4617058.0,,97.0,1610.0,1505.0,132.0,600.0,25.0,3567.0,0.06,0.71,0.3629,0.098,0.434,58.0,232.0,0.001,0.077,1.17,0.309,0.0439,64.0,AISI12L141,,1.12,,,,0.08,1.07,1.17,,0.1,,0.01,70.0,0.35,,0.4100000000000001,,,896.5,2.0
JSPHTHSV,NVD,4617059.0,,104.0,1590.0,1505.0,132.0,1250.0,25.0,3461.0,0.11,0.96,0.0589,0.139,0.032,57.0,350.8,0.032,0.175,1.32,0.0089,0.2089,58.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.08,0.365,0.061,,445.4,35.0
JSPHTHSV,NVD,4617060.0,,101.0,1595.0,1505.0,132.0,1300.0,25.0,3462.0,0.138,0.97,0.0519,0.153,0.073,57.0,291.4,0.051,0.195,1.31,0.017,0.2069,61.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.0519999999999999,0.355,0.047,,445.4,35.0
JSPHTHSV,NVD,4617061.0,,99.0,1590.0,1505.0,144.0,1000.0,25.0,3601.0,0.145,1.1,0.0529,0.168,0.08,48.0,277.0,0.035,0.184,1.33,0.0109,0.184,64.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.045,0.2249999999999998,0.032,,445.4,35.0
JSPHTHSV,NVD,4617062.0,,98.0,1585.0,1505.0,110.0,1100.0,25.0,3559.0,0.167,1.11,0.065,0.1409,0.046,57.0,295.8,0.032,0.177,1.29,0.01,0.1821,64.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.0229999999999999,0.2149999999999998,0.0591,,445.4,35.0
JSPHTHSV(VD),VD,4617063.0,,101.0,1580.0,1505.0,132.0,1100.0,25.0,3666.0,0.448,1.12,0.064,0.193,0.315,61.0,354.1,0.036,0.178,1.32,0.007,0.2039,63.0,JSPHTHSVVD,,,,,,,,,,,,,,,,,,,290.0,1.0
JSPHTHSV,NVD,4617064.0,,102.0,1578.0,1505.0,110.0,1100.0,25.0,3403.0,0.061,0.57,0.063,0.134,0.103,51.0,289.2,0.031,0.184,1.32,0.005,0.188,67.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.129,0.755,0.066,,445.4,35.0
SAE10B35HS,VD,4617065.0,,92.0,1590.0,1505.0,154.0,1200.0,25.0,3577.0,0.207,0.6,0.07,0.14,0.112,64.0,353.0,0.03,0.314,0.77,0.004,0.215,61.0,SAE10B35HS,,,,,,,,,,,,,,,,,,,302.0,1.0
SAE10B35HS,VD,4617066.0,,93.0,1580.0,1505.0,154.0,1300.0,25.0,3668.0,0.203,0.63,0.0709,0.1479,0.097,63.0,293.6,0.039,0.338,0.78,0.0089,0.198,58.0,SAE10B35HS,,,,,,,,,,,,,,,,,,,302.0,1.0
SAE10B35HS,VD,4617067.0,,91.0,1570.0,1505.0,154.0,1250.0,25.0,3434.0,0.214,0.65,0.064,0.138,0.149,54.0,310.1,0.032,0.327,0.81,0.004,0.2049,60.0,SAE10B35HS,,,,,,,,,,,,,,,,,,,302.0,1.0
JSPHTHSV,NVD,4617068.0,,100.0,1578.0,1505.0,88.0,1000.0,25.0,3647.0,0.224,1.11,0.0449,0.153,0.0,51.0,313.4,0.049,0.183,1.35,0.0109,0.19,66.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,-0.034,0.2149999999999998,0.047,,445.4,35.0
JSPHTHSV,NVD,4617069.0,,100.0,1580.0,1505.0,154.0,1000.0,25.0,3647.0,0.027,1.02,0.0509,0.164,0.018,50.0,353.0,0.031,0.179,1.32,0.0089,0.2099,64.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.163,0.3049999999999999,0.036,,445.4,35.0
JSPHTHSV,NVD,4617070.0,,100.0,1580.0,1505.0,178.0,900.0,25.0,3647.0,0.071,1.02,0.0449,0.153,0.011,51.0,391.52,0.035,0.186,1.36,0.01,0.2409,67.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.119,0.3049999999999999,0.047,,445.4,35.0
SAE1541,VD,4617071.0,,100.0,1580.0,1505.0,178.0,800.0,25.0,3647.0,0.148,1.07,0.049,0.168,0.596,51.0,377.0,0.032,0.383,1.55,0.004,0.229,58.0,SAE1541,0.4,1.55,0.2,0.0325,0.38,0.42,1.5,1.6,0.15,0.25,0.025,0.04,75.0,0.01,0.252,0.48,0.032,-0.5635,405.0,5.0
SAE1541,VD,4617072.0,,100.0,1560.0,1505.0,178.0,1020.0,25.0,3647.0,0.172,1.01,0.058,0.121,0.011,57.0,311.0,0.034,0.394,1.53,0.003,0.188,63.0,SAE1541,0.4,1.55,0.2,0.0325,0.38,0.42,1.5,1.6,0.15,0.25,0.025,0.04,75.0,0.01,0.228,0.54,0.079,0.0215,405.0,5.0
SAE1541,VD,4617073.0,,100.0,1565.0,1505.0,178.0,900.0,25.0,3647.0,0.176,1.17,0.0459,0.1739,0.048,51.0,329.15,0.034,0.407,1.56,0.003,0.2049,61.0,SAE1541,0.4,1.55,0.2,0.0325,0.38,0.42,1.5,1.6,0.15,0.25,0.025,0.04,75.0,0.01,0.224,0.3800000000000001,0.0261,-0.0155,405.0,5.0
SAE1541,VD,4617074.0,,100.0,1560.0,1505.0,178.0,900.0,25.0,3647.0,0.627,1.14,0.034,0.168,0.035,51.0,311.0,0.024,0.398,1.53,0.006,0.2399,57.0,SAE1541,0.4,1.55,0.2,0.0325,0.38,0.42,1.5,1.6,0.15,0.25,0.025,0.04,75.0,0.01,-0.2269999999999999,0.4100000000000001,0.032,-0.0025,405.0,5.0
E450HS(V),NVD,4617075.0,,100.0,1570.0,1505.0,178.0,1000.0,25.0,3647.0,0.078,1.19,0.0359,0.164,0.028,51.0,363.8,0.028,0.197,1.65,0.0089,0.184,94.0,E450HSV,,,,,,,,,,,,,,,,,,,463.7333333333333,9.0
E450HS(V),NVD,4617076.0,,100.0,1610.0,1505.0,132.0,1250.0,25.0,3647.0,0.139,1.11,0.033,0.1769,0.051,51.0,316.15,0.032,0.194,1.63,0.004,0.1719,80.0,E450HSV,,,,,,,,,,,,,,,,,,,463.7333333333333,9.0
SAE1541,VD,4617077.0,,100.0,1560.0,1505.0,156.0,900.0,25.0,3647.0,0.152,1.02,0.041,0.1409,0.09,53.0,289.0,0.038,0.384,1.57,0.004,0.2379,61.0,SAE1541,0.4,1.55,0.2,0.0325,0.38,0.42,1.5,1.6,0.15,0.25,0.025,0.04,75.0,0.01,0.248,0.53,0.0591,-0.0574999999999999,405.0,5.0
SAE1541,VD,4617078.0,,100.0,1560.0,1505.0,178.0,1000.0,25.0,3647.0,0.158,1.04,0.035,0.163,0.123,51.0,311.0,0.039,0.424,1.56,0.003,0.2119,61.0,SAE1541,0.4,1.55,0.2,0.0325,0.38,0.42,1.5,1.6,0.15,0.25,0.025,0.04,75.0,0.01,0.242,0.51,0.037,-0.0905,405.0,5.0
E450HS(V),NVD,4617079.0,,100.0,1580.0,1522.0,178.0,1200.0,25.0,3647.0,0.167,1.0,0.0459,0.1789,0.069,60.0,362.15,0.03,0.201,1.61,0.005,0.22,94.0,E450HSV,,,,,,,,,,,,,,,,,,,463.7333333333333,9.0
E450HS(V),NVD,4617080.0,,100.0,1578.0,1505.0,178.0,1100.0,25.0,3647.0,0.43,1.0,0.0463,0.1793,0.069,60.0,350.6,0.036,0.187,1.6,0.004,0.221,83.0,E450HSV,,,,,,,,,,,,,,,,,,,463.7333333333333,9.0
HC78ACRX,VD,4617081.0,,99.0,1555.0,1505.0,0.0,950.0,25.0,3647.0,0.041,0.44,0.056,0.082,0.001,47.0,100.0,0.003,0.77,0.54,0.007,0.2109,61.0,HC78ACRX,,,,,,,,,,,,,,,,,,,396.5,2.0
HC78ACRX,VD,4617082.0,,107.0,1530.0,1505.0,0.0,1050.0,25.0,3967.0,0.088,0.43,0.041,0.126,0.001,47.0,100.0,0.002,0.755,0.54,0.006,0.1719,60.0,HC78ACRX,,,,,,,,,,,,,,,,,,,396.5,2.0
E450HS(V),NVD,4617083.0,,99.0,1575.0,1505.0,178.0,1050.0,25.0,3688.0,0.14,1.1,0.0519,0.163,0.014,47.0,428.81,0.031,0.192,1.62,0.004,0.215,70.0,E450HSV,,,,,,,,,,,,,,,,,,,463.7333333333333,9.0
HC78ACRX,VD,4617084.0,,99.0,1530.0,1505.0,0.0,1100.0,25.0,3606.0,0.15,0.42,0.0509,0.1469,0.001,47.0,100.0,0.004,0.77,0.53,0.007,0.1719,53.0,HC78ACRX,,,,,,,,,,,,,,,,,,,396.5,2.0
E450HS(V),NVD,4617085.0,,93.0,1580.0,1505.0,178.0,1350.0,25.0,3763.0,0.163,1.0,0.056,0.156,0.032,54.0,409.67,0.03,0.186,1.64,0.006,0.191,71.0,E450HSV,,,,,,,,,,,,,,,,,,,463.7333333333333,9.0
E450HS(V),NVD,4617086.0,,103.0,1575.0,1505.0,178.0,1200.0,25.0,4196.0,0.166,1.08,0.062,0.164,0.04,54.0,411.65,0.035,0.195,1.61,0.008,0.2049,80.0,E450HSV,,,,,,,,,,,,,,,,,,,463.7333333333333,9.0
E450HS(V),NVD,4617087.0,,96.0,1578.0,1505.0,178.0,1200.0,25.0,4142.0,0.52,1.17,0.055,0.191,0.044,61.0,369.41,0.039,0.195,1.62,0.0089,0.192,77.0,E450HSV,,,,,,,,,,,,,,,,,,,463.7333333333333,9.0
E450HS(V),NVD,4617088.0,,100.0,1588.0,1505.0,178.0,1320.0,25.0,3726.0,0.109,1.15,0.0599,0.182,0.027,58.0,344.0,0.038,0.197,1.63,0.0089,0.222,80.0,E450HSV,,,,,,,,,,,,,,,,,,,463.7333333333333,9.0
SAE1022,VD,4617089.0,,100.0,1610.0,1505.0,178.0,1320.0,25.0,4023.0,0.098,0.38,0.0539,0.0509,0.011,51.0,426.5,0.04,0.209,0.86,0.005,0.0589,68.0,SAE1022,,,,,,,,,,,,,,,,,,,250.0,1.0
E450HS(V),NVD,4617090.0,,100.0,1575.0,1505.0,178.0,1100.0,25.0,3632.0,0.131,0.89,0.05,0.1419,0.026,43.0,419.9,0.036,0.193,1.62,0.006,0.196,86.0,E450HSV,,,,,,,,,,,,,,,,,,,463.7333333333333,9.0
SAE1022,VD,4617091.0,,99.0,1580.0,1505.0,232.0,1500.0,25.0,4050.0,0.153,0.66,0.0519,0.041,0.035,57.0,332.0,0.043,0.208,0.85,0.006,0.0509,61.0,SAE1022,,,,,,,,,,,,,,,,,,,250.0,1.0
JSPHTHSV,NVD,4617092.0,,107.0,1585.0,1505.0,178.0,1450.0,25.0,3137.0,0.169,1.2,0.0539,0.1759,0.02,54.0,278.0,0.029,0.183,1.33,0.006,0.218,66.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.0209999999999999,0.125,0.0241,,445.4,35.0
JSPHTHSV,NVD,4617093.0,,99.0,1585.0,1505.0,178.0,1200.0,25.0,3865.0,0.173,1.17,0.0529,0.184,0.04,63.0,353.9,0.034,0.186,1.34,0.0109,0.2119,66.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.017,0.155,0.016,,445.4,35.0
JSPHTHSV,NVD,4617094.0,,99.0,1577.0,1505.0,178.0,1150.0,25.0,3679.0,0.048,1.1,0.068,0.1489,0.006,50.0,446.3,0.03,0.179,1.33,0.005,0.197,70.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.142,0.2249999999999998,0.0511,,445.4,35.0
EN8D,VD,4617095.0,,93.0,1585.0,1505.0,178.0,1250.0,25.0,3909.0,0.064,0.28,0.065,0.0519,0.022,47.0,459.5,0.038,0.42,0.78,0.005,0.184,63.0,EN8D,0.425,0.77,0.2,0.0325,0.41,0.44,0.72,0.82,0.15,0.25,0.025,0.04,75.0,0.015,0.361,0.49,0.1481,0.0105,449.0,2.0
JSPHTHSV,NVD,4617096.0,,103.0,1578.0,1505.0,178.0,1150.0,25.0,4057.0,0.157,1.06,0.069,0.1779,0.052,51.0,370.4,0.042,0.181,1.32,0.0109,0.2099,64.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.033,0.2649999999999999,0.0221,,445.4,35.0
E410HSV(VD),VD,4617097.0,,96.0,1585.0,1505.0,178.0,1300.0,25.0,3548.0,0.163,0.66,0.0719,0.159,0.075,63.0,327.5,0.034,0.191,1.52,0.004,0.228,71.0,E410HSVVD,,,,,,,,,,,,,,,,,,,240.0,1.0
EN8D,VD,4617098.0,,100.0,1562.0,1505.0,178.0,1250.0,25.0,3554.0,0.163,0.65,0.066,0.157,0.088,54.0,360.5,0.029,0.42,0.76,0.004,0.197,60.0,EN8D,0.425,0.77,0.2,0.0325,0.41,0.44,0.72,0.82,0.15,0.25,0.025,0.04,75.0,0.015,0.262,0.12,0.043,-0.0554999999999999,449.0,2.0
S275HS,NVD,4617099.0,,100.0,1615.0,1505.0,110.0,950.0,25.0,3256.0,0.171,0.71,0.0719,0.161,0.047,60.0,318.9,0.034,0.169,0.84,0.0089,0.189,66.0,S275HS,,,,,,,,,,,,,,,,,,,342.3058823529412,17.0
EN8D,VD,4617100.0,,100.0,1570.0,1505.0,156.0,1020.0,25.0,3710.0,0.46,0.63,0.0749,0.1469,0.053,51.0,305.5,0.036,0.41,0.76,0.004,0.169,57.0,EN8D,0.425,0.77,0.2,0.0325,0.41,0.44,0.72,0.82,0.15,0.25,0.025,0.04,75.0,0.015,-0.035,0.14,0.0531,-0.0204999999999999,449.0,2.0
EN8D,VD,4617101.0,,99.0,1560.0,1505.0,156.0,1000.0,25.0,3580.0,0.091,0.65,0.058,0.129,0.026,48.0,358.3,0.033,0.41,0.76,0.005,0.1925,61.0,EN8D,0.425,0.77,0.2,0.0325,0.41,0.44,0.72,0.82,0.15,0.25,0.025,0.04,75.0,0.015,0.3339999999999999,0.12,0.071,0.0065,449.0,2.0
EN8D,VD,4617102.0,,107.0,1562.0,1505.0,110.0,1050.0,25.0,3877.0,0.15,0.6,0.065,0.13,0.023,51.0,375.0,0.034,0.425,0.78,0.004,0.182,61.0,EN8D,0.425,0.77,0.2,0.0325,0.41,0.44,0.72,0.82,0.15,0.25,0.025,0.04,75.0,0.015,0.275,0.17,0.07,0.0095,449.0,2.0
EN8D,VD,4617103.0,,99.0,1560.0,1505.0,132.0,1150.0,25.0,3743.0,0.152,0.6,0.056,0.137,0.014,53.0,331.0,0.03,0.435,0.77,0.003,0.219,60.0,EN8D,0.425,0.77,0.2,0.0325,0.41,0.44,0.72,0.82,0.15,0.25,0.025,0.04,75.0,0.015,0.273,0.17,0.063,0.0185,449.0,2.0
S275HS ,NVD,4617104.0,,99.0,1580.0,1505.0,132.0,1050.0,25.0,3799.0,0.164,0.58,0.05,0.134,0.071,51.0,271.6,0.027,0.157,0.83,0.005,0.199,64.0,S275HS,,,,,,,,,,,,,,,,,,,342.3058823529412,17.0
EN8D,VD,4617105.0,,93.0,1560.0,1505.0,132.0,1000.0,25.0,3819.0,0.172,0.61,0.058,0.14,0.073,51.0,307.9,0.027,0.404,0.76,0.003,0.2059,61.0,EN8D,0.425,0.77,0.2,0.0325,0.41,0.44,0.72,0.82,0.15,0.25,0.025,0.04,75.0,0.015,0.253,0.16,0.06,-0.0404999999999999,449.0,2.0
S275HS,NVD,4617106.0,,103.0,1585.0,1505.0,132.0,1400.0,25.0,3647.0,0.179,0.6,0.062,0.13,0.058,51.0,314.5,0.032,0.152,0.81,0.0089,0.182,63.0,S275HS,,,,,,,,,,,,,,,,,,,342.3058823529412,17.0
S275HS,NVD,4617107.0,,96.0,1580.0,1505.0,110.0,1200.0,25.0,3647.0,0.301,0.62,0.0539,0.14,0.085,57.0,255.21,0.036,0.161,0.83,0.004,0.203,63.0,S275HS,,,,,,,,,,,,,,,,,,,342.3058823529412,17.0
JSPHTHSV,NVD,4617108.0,,100.0,1580.0,1505.0,178.0,1150.0,25.0,3647.0,0.119,0.61,0.0589,0.14,0.097,51.0,347.3,0.037,0.181,1.31,0.005,0.214,61.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.071,0.715,0.06,,445.4,35.0
SAE4140,VD,4617109.0,,100.0,1580.0,1505.0,178.0,1300.0,25.0,3647.0,0.11,0.66,0.047,0.1469,0.05,51.0,355.55,0.034,0.398,0.85,0.004,0.255,63.0,SAE4140,0.4,0.8500000000000001,0.25,0.0325,0.38,0.42,0.8,0.9,0.2,0.3,0.025,0.04,75.0,0.01,0.29,0.19,0.1031,-0.0175,363.2857142857143,7.0
JSPHTHSV,NVD,4617110.0,,100.0,1585.0,1505.0,132.0,1150.0,25.0,3647.0,0.172,1.15,0.048,0.202,0.096,51.0,256.75,0.031,0.185,1.3,0.0089,0.19,66.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.018,0.175,-0.002,,445.4,35.0
SAE4140,VD,4617111.0,,99.0,1563.0,1505.0,178.0,1100.0,25.0,3647.0,0.182,0.6,0.0529,0.138,0.125,58.0,344.0,0.038,0.392,0.84,0.003,0.259,63.0,SAE4140,0.4,0.8500000000000001,0.25,0.0325,0.38,0.42,0.8,0.9,0.2,0.3,0.025,0.04,75.0,0.01,0.218,0.2500000000000001,0.1119999999999999,-0.0925,363.2857142857143,7.0
JSPHTHSV,NVD,4617112.0,,107.0,1590.0,1505.0,132.0,1100.0,25.0,3647.0,0.871,1.04,0.0429,0.1809,0.106,51.0,232.0,0.029,0.187,1.31,0.008,0.214,60.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,-0.681,0.2849999999999999,0.0191,,445.4,35.0
JSPHTHSV,NVD,4617113.0,,99.0,1580.0,1505.0,132.0,1300.0,25.0,3647.0,0.227,1.03,0.05,0.154,0.089,54.0,271.6,0.028,0.183,1.31,0.006,0.191,66.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,-0.037,0.2949999999999999,0.046,,445.4,35.0
SAE15B25,VD,4617114.0,,99.0,1595.0,1505.0,178.0,1300.0,25.0,3647.0,0.105,0.74,0.0449,0.105,0.057,51.0,426.5,0.031,0.255,0.97,0.003,0.216,61.0,SAE15B25,0.265,1.0,0.2,0.0275,0.25,0.28,0.95,1.05,0.15,0.25,0.02,0.035,70.0,0.01,0.16,0.26,0.095,-0.0295,365.15625,16.0
JSPHTHSV,NVD,4617115.0,,93.0,1590.0,1505.0,132.0,1200.0,25.0,3647.0,0.173,0.6,0.0519,0.116,0.044,51.0,321.1,0.025,0.179,1.31,0.005,0.201,64.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.017,0.725,0.084,,445.4,35.0
SAE15B25,VD,4617116.0,,103.0,1570.0,1505.0,178.0,1300.0,25.0,3647.0,0.175,0.77,0.0509,0.127,0.073,51.0,393.5,0.038,0.257,1.0,0.005,0.183,57.0,SAE15B25,0.265,1.0,0.2,0.0275,0.25,0.28,0.95,1.05,0.15,0.25,0.02,0.035,70.0,0.01,0.09,0.2299999999999999,0.073,-0.0455,365.15625,16.0
SAE15B25,VD,4617117.0,,96.0,1565.0,1505.0,132.0,1200.0,25.0,3647.0,0.179,0.64,0.0449,0.138,0.11,54.0,250.15,0.038,0.257,0.96,0.004,0.191,61.0,SAE15B25,0.265,1.0,0.2,0.0275,0.25,0.28,0.95,1.05,0.15,0.25,0.02,0.035,70.0,0.01,0.086,0.36,0.062,-0.0825,365.15625,16.0
SAE15B25,VD,4617118.0,,100.0,1565.0,1505.0,178.0,1250.0,25.0,3265.0,0.179,0.78,0.055,0.124,0.042,57.0,410.0,0.03,0.251,0.97,0.003,0.191,57.0,SAE15B25,0.265,1.0,0.2,0.0275,0.25,0.28,0.95,1.05,0.15,0.25,0.02,0.035,70.0,0.01,0.086,0.2199999999999999,0.076,-0.0145,365.15625,16.0
SAE15B25,VD,4617119.0,,100.0,1565.0,1505.0,144.0,1350.0,25.0,3860.0,1.063,0.76,0.063,0.11,0.018,54.0,353.89,0.035,0.256,0.98,0.003,0.202,54.0,SAE15B25,0.265,1.0,0.2,0.0275,0.25,0.28,0.95,1.05,0.15,0.25,0.02,0.035,70.0,0.01,-0.7979999999999999,0.24,0.09,0.0095,365.15625,16.0
SAE15B25,VD,4617120.0,,100.0,1565.0,1505.0,178.0,1600.0,25.0,3942.0,0.047,0.77,0.058,0.129,0.035,43.0,476.0,0.04,0.262,0.97,0.004,0.193,55.0,SAE15B25,0.265,1.0,0.2,0.0275,0.25,0.28,0.95,1.05,0.15,0.25,0.02,0.035,70.0,0.01,0.218,0.2299999999999999,0.071,-0.0075,365.15625,16.0
SAE15B25,VD,4617121.0,,99.0,1565.0,1505.0,178.0,1200.0,25.0,3164.0,0.104,0.72,0.0539,0.123,0.054,44.0,387.89,0.033,0.257,1.02,0.003,0.2069,57.0,SAE15B25,0.265,1.0,0.2,0.0275,0.25,0.28,0.95,1.05,0.15,0.25,0.02,0.035,70.0,0.01,0.161,0.28,0.077,-0.0265,365.15625,16.0
SAE15B25,VD,4617122.0,,107.0,1560.0,1505.0,178.0,1700.0,25.0,3248.0,0.165,0.77,0.04,0.1179,0.005,55.0,459.5,0.034,0.261,0.99,0.002,0.2109,61.0,SAE15B25,0.265,1.0,0.2,0.0275,0.25,0.28,0.95,1.05,0.15,0.25,0.02,0.035,70.0,0.01,0.1,0.2299999999999999,0.0821,0.0225,365.15625,16.0
S275HS,NVD,4617123.0,,99.0,1610.0,1580.0,132.0,1250.0,25.0,3694.0,0.158,0.75,0.0529,0.0589,0.052,54.0,385.45,0.038,0.154,0.86,0.012,0.186,64.0,S275HS,,,,,,,,,,,,,,,,,,,342.3058823529412,17.0
