GRADE,VD/NVD,tap_wt_from_EAF,LIFTING TEMP_LRF,TEMP OPENING_LRF,al ingot_kg__during_EAF_tapping,LIME_LRF,SPAR,OXY_EAF,LRF_Initial_Chemistry_C,LRF_Initial_Chemistry_MN,LRF_Initial_Chemistry_S,LRF_Initial_Chemistry_SI,LRF_Initial_Chemistry_AL,LRF_Initial_Chemistry_N2,Total_Al_LRF_kg,LRF_Final_Chemistry_AL,LRF_Final_Chemistry_C,LRF_Final_Chemistry_MN,Final_S,Final_SI,LRF_Final_Chemistry_N2
JSPHTLSV,NVD,99.0,1580.0,1505.0,132.0,1200.0,25.0,3776.0,0.185,0.62,0.065,0.098,0.1,51.0,299.65,0.033,0.181,1.26,0.006,0.2,64.0
SAE15B25,VD,107.0,1580.0,1505.0,132.0,1100.0,25.0,4190.0,0.182,0.78,0.056,0.128,0.093,51.0,298.0,0.031,0.255,0.97,0.004,0.189,58.0
SAE15B25,VD,99.0,1570.0,1505.0,132.0,1200.0,25.0,3727.0,0.102,0.76,0.062,0.123,0.093,48.0,281.5,0.031,0.257,0.98,0.004,0.1779,64.0
SAE15B25,VD,99.0,1575.0,1505.0,132.0,1200.0,25.0,4232.0,0.459,0.84,0.063,0.1409,0.098,51.0,283.15,0.033,0.251,0.98,0.004,0.198,63.0
SAE15B25,VD,93.0,1571.0,1505.0,132.0,1100.0,25.0,3426.0,0.182,0.75,0.063,0.124,0.129,51.0,298.0,0.037,0.25,0.97,0.006,0.171,64.0
SAE15B25,VD,103.0,1570.0,1505.0,132.0,1250.0,25.0,4411.0,0.188,0.82,0.0609,0.131,0.097,51.0,327.04,0.032,0.253,0.98,0.003,0.19,57.0
S275HS,NVD,96.0,1615.0,1505.0,178.0,1300.0,25.0,4406.0,0.192,0.79,0.055,0.112,0.07,54.0,366.44,0.043,0.163,0.83,0.004,0.2069,68.0
SAE15B25,VD,100.0,1560.0,1505.0,178.0,1400.0,25.0,4260.0,0.187,0.74,0.0509,0.097,0.06,51.0,360.5,0.035,0.25,0.96,0.006,0.168,61.0
SAE15B25,VD,100.0,1575.0,1505.0,132.0,1200.0,25.0,3267.0,0.078,0.73,0.0529,0.121,0.142,51.0,283.15,0.035,0.252,0.98,0.006,0.182,63.0
S275HS,NVD,100.0,1575.0,1505.0,178.0,1500.0,25.0,3629.0,0.082,0.66,0.058,0.157,0.065,51.0,337.4,0.036,0.161,0.81,0.0089,0.223,66.0
S275HS,NVD,99.0,1565.0,1505.0,132.0,900.0,25.0,4015.0,0.146,0.61,0.063,0.158,0.117,51.0,232.0,0.037,0.172,0.83,0.0129,0.194,71.0
JSPHTHS(V),NVD,107.0,1560.0,1505.0,178.0,1100.0,25.0,3647.0,0.154,0.9,0.0749,0.158,0.082,64.0,360.5,0.037,0.179,1.35,0.01,0.182,68.0
JSPHTHS(V),NVD,99.0,1563.0,1505.0,132.0,1400.0,25.0,4334.0,0.162,0.97,0.064,0.1409,0.008,47.0,378.52,0.037,0.187,1.32,0.0089,0.184,68.0
JSPHTHS(V),NVD,99.0,1570.0,1505.0,145.0,1300.0,25.0,3902.0,0.172,1.17,0.0599,0.197,0.077,47.0,304.4,0.032,0.176,1.31,0.004,0.2,68.0
JSPHTHS(V),NVD,93.0,1565.0,1505.0,132.0,1250.0,25.0,3597.0,0.396,1.05,0.062,0.153,0.059,47.0,323.41,0.028,0.188,1.37,0.008,0.201,74.0
JSPHTHS(V),NVD,103.0,1567.0,1505.0,154.0,1300.0,25.0,3456.0,0.095,0.89,0.07,0.109,0.015,44.0,412.4,0.035,0.192,1.36,0.008,0.1779,61.0
JSPHTHS(V),NVD,96.0,1570.0,1505.0,154.0,1100.0,25.0,3600.0,0.137,0.87,0.07,0.1419,0.007,44.0,376.1,0.037,0.195,1.33,0.017,0.197,73.0
JSPHTHS(V),NVD,100.0,1565.0,1505.0,154.0,1200.0,25.0,3661.0,0.149,1.11,0.0719,0.22,0.091,50.0,310.1,0.03,0.181,1.34,0.005,0.231,68.0
JSPHTHS(V),NVD,100.0,1562.0,1505.0,132.0,1150.0,25.0,3335.0,0.147,1.08,0.067,0.183,0.06,61.0,286.78,0.033,0.183,1.33,0.0109,0.202,64.0
JSPHTHS(V),NVD,100.0,1564.0,1505.0,154.0,900.0,25.0,3612.0,0.163,1.02,0.08,0.163,0.101,61.0,273.8,0.038,0.19,1.34,0.008,0.2,67.0
JSPHTHS(V),NVD,99.0,1565.0,1505.0,154.0,1400.0,25.0,5445.0,0.164,1.0,0.085,0.112,0.031,51.0,402.5,0.04,0.197,1.33,0.014,0.2049,64.0
JSPHTHS(V),NVD,107.0,1570.0,1505.0,154.0,1200.0,25.0,3066.0,0.608,1.11,0.0759,0.1759,0.043,67.0,346.4,0.02,0.178,1.3,0.007,0.187,70.0
JSPHTHS(V),NVD,99.0,1571.0,1505.0,132.0,1150.0,25.0,3574.0,0.096,1.09,0.065,0.187,0.08,51.0,248.5,0.032,0.179,1.3,0.012,0.191,64.0
JSPHTHS(V),NVD,99.0,1580.0,1505.0,154.0,1100.0,25.0,4068.0,0.143,0.93,0.062,0.1489,0.014,51.0,376.1,0.039,0.178,1.33,0.0109,0.195,63.0
JSPHTHS(V),NVD,93.0,1615.0,1505.0,132.0,1350.0,25.0,4327.0,0.137,1.0,0.0719,0.1409,0.011,54.0,370.6,0.024,0.187,1.33,0.0089,0.194,67.0
JSPHTHS(V),NVD,103.0,1580.0,1505.0,66.0,1150.0,25.0,3710.0,0.147,0.93,0.0509,0.156,0.034,51.0,271.6,0.031,0.185,1.33,0.007,0.191,66.0
JSPHTHS(V),NVD,96.0,1575.0,1505.0,132.0,1100.0,25.0,3602.0,0.157,0.98,0.066,0.1759,0.111,54.0,232.0,0.036,0.176,1.33,0.008,0.2079,63.0
JSPHTHS(V),NVD,100.0,1575.0,1505.0,132.0,1300.0,25.0,3569.0,0.162,0.97,0.068,0.157,0.059,51.0,298.0,0.036,0.184,1.33,0.006,0.191,64.0
JSPHTHS(V),NVD,100.0,1565.0,1505.0,144.0,1150.0,25.0,3961.0,0.862,0.93,0.0599,0.1439,0.058,51.0,336.4,0.035,0.177,1.35,0.0089,0.194,67.0
JSPHTHS(V),NVD,100.0,1580.0,1505.0,132.0,1250.0,25.0,4052.0,0.386,1.15,0.066,0.17,0.061,50.0,317.8,0.031,0.192,1.33,0.0089,0.192,67.0
JSPLWELDMIG,VD,99.0,1575.0,1505.0,0.0,1350.0,25.0,4687.0,0.079,0.49,0.063,0.121,0.002,53.0,100.0,0.008,0.065,1.47,0.01,0.889,47.0
JSPHTHSV,NVD,107.0,1577.0,1505.0,132.0,1250.0,25.0,3338.0,0.146,0.91,0.065,0.1189,0.032,54.0,370.6,0.032,0.185,1.33,0.007,0.1759,66.0
JSPLWELDMIG,VD,99.0,1575.0,1505.0,0.0,1400.0,25.0,4615.0,0.161,0.39,0.0359,0.0449,0.002,51.0,100.0,0.005,0.073,1.48,0.007,0.8609,48.0
JSPHTHSV,NVD,99.0,1575.0,1505.0,132.0,1100.0,25.0,3211.0,0.168,0.96,0.0589,0.151,0.085,57.0,257.41,0.045,0.203,1.31,0.019,0.198,67.0
JSPHTHSV,NVD,93.0,1570.0,1505.0,132.0,1100.0,25.0,3954.0,0.164,0.93,0.055,0.138,0.014,54.0,331.0,0.04,0.196,1.36,0.014,0.221,60.0
JSPHTHSV,NVD,103.0,1590.0,1505.0,132.0,1200.0,25.0,3576.0,0.394,1.07,0.055,0.1739,0.025,51.0,347.5,0.031,0.186,1.34,0.0109,0.194,61.0
JSPHTHSV,NVD,96.0,1590.0,1505.0,132.0,1100.0,25.0,3811.0,0.062,1.06,0.055,0.13,0.018,54.0,403.6,0.027,0.188,1.38,0.012,0.194,67.0
JSPLWELDMIG,VD,100.0,1575.0,1505.0,0.0,1000.0,25.0,4213.0,0.079,0.5,0.055,0.0909,0.002,58.0,100.0,0.007,0.06,1.46,0.01,0.8369,44.0
JSPHTHSV,NVD,100.0,1575.0,1505.0,132.0,1400.0,25.0,3309.0,0.148,0.97,0.055,0.151,0.08,51.0,265.0,0.032,0.184,1.32,0.0089,0.214,61.0
JSPHTHSV,NVD,100.0,1565.0,1505.0,132.0,1100.0,25.0,3780.0,0.169,1.0,0.058,0.16,0.021,53.0,383.8,0.042,0.189,1.3,0.019,0.19,67.0
JSPHTHSV,NVD,99.0,1572.0,1505.0,132.0,130.0,25.0,4192.0,0.167,1.11,0.055,0.161,0.028,66.0,377.2,0.037,0.182,1.32,0.0089,0.187,70.0
JSPHTHSV,NVD,107.0,1572.0,1505.0,132.0,1400.0,25.0,3353.0,0.172,0.94,0.062,0.133,0.015,58.0,397.0,0.03,0.182,1.37,0.01,0.234,61.0
C18,NVD,99.0,1610.0,1505.0,132.0,1320.0,25.0,3807.0,0.837,0.46,0.056,0.1449,0.035,58.0,307.9,0.021,0.183,0.53,0.007,0.165,70.0
C18,NVD,99.0,1575.0,1505.0,132.0,1200.0,25.0,3763.0,0.153,0.44,0.055,0.1189,0.026,60.0,337.6,0.022,0.178,0.53,0.008,0.159,66.0
SS540LS(V),NVD,93.0,1580.0,1505.0,132.0,1200.0,25.0,3689.0,0.058,1.1,0.0539,0.1499,0.028,50.0,407.56,0.037,0.235,1.45,0.004,0.232,86.0
C18,NVD,103.0,1562.0,1505.0,132.0,1100.0,25.0,3334.0,0.099,0.43,0.0609,0.083,0.034,54.0,351.13,0.02,0.179,0.53,0.004,0.162,64.0
SS540LS(V),NVD,96.0,1570.0,1505.0,50.0,1200.0,25.0,4076.0,0.516,0.93,0.064,0.151,0.062,53.0,222.6,0.035,0.223,1.43,0.006,0.215,86.0
C18,NVD,100.0,1580.0,1505.0,132.0,1300.0,25.0,4226.0,0.547,0.43,0.08,0.0859,0.046,51.0,283.15,0.027,0.177,0.52,0.0149,0.1459,63.0
S275HS,NVD,100.0,1580.0,1531.0,132.0,1250.0,25.0,4544.0,0.548,0.69,0.083,0.1419,0.064,54.0,286.78,0.033,0.165,0.81,0.0179,0.1449,64.0
S275HS,NVD,100.0,1570.0,1505.0,132.0,1200.0,25.0,4123.0,0.562,0.7,0.0769,0.156,0.138,54.0,265.0,0.041,0.173,0.82,0.01,0.1759,66.0
S275HS,NVD,99.0,1580.0,1505.0,132.0,1300.0,25.0,4492.0,0.569,0.7,0.0759,0.16,0.044,55.0,317.8,0.038,0.166,0.83,0.006,0.196,64.0
S275HS,NVD,107.0,1565.0,1505.0,132.0,1100.0,25.0,4068.0,0.573,0.7,0.0739,0.1429,0.103,51.0,281.5,0.038,0.159,0.82,0.008,0.19,64.0
S275HS,NVD,99.0,1570.0,1505.0,154.0,1200.0,25.0,3811.0,0.589,0.64,0.079,0.132,0.099,55.0,287.0,0.043,0.155,0.83,0.0109,0.191,67.0
S275HS,NVD,99.0,1565.0,1505.0,132.0,1000.0,25.0,3947.0,0.104,0.53,0.084,0.117,0.141,57.0,265.0,0.036,0.162,0.81,0.0089,0.1809,71.0
S275HS,NVD,93.0,1563.0,1505.0,132.0,1400.0,25.0,4431.0,0.115,0.69,0.081,0.153,0.042,58.0,308.56,0.036,0.17,0.81,0.01,0.194,68.0
S275HS,NVD,103.0,1570.0,1505.0,132.0,1200.0,25.0,3998.0,0.102,0.73,0.049,0.157,0.129,55.0,232.0,0.032,0.168,0.84,0.0089,0.198,64.0
S275HS,NVD,96.0,1580.0,1505.0,154.0,1200.0,25.0,3402.0,0.548,0.67,0.056,0.132,0.073,57.0,318.02,0.033,0.169,0.83,0.0089,0.189,66.0
S275HS,NVD,100.0,1570.0,1523.0,132.0,1300.0,25.0,3575.0,0.573,0.67,0.055,0.124,0.035,51.0,288.1,0.026,0.164,0.8,0.008,0.202,63.0
S275HS,NVD,100.0,1575.0,1533.0,132.0,1150.0,25.0,4059.0,0.578,0.62,0.066,0.098,0.01,54.0,340.9,0.03,0.165,0.82,0.008,0.216,66.0
S275HS,NVD,100.0,1575.0,1505.0,132.0,1350.0,25.0,4701.0,0.573,0.63,0.0749,0.11,0.015,51.0,370.6,0.039,0.168,0.84,0.0179,0.203,64.0
JSPHTLSV,NVD,99.0,1610.0,1522.0,132.0,1250.0,25.0,3683.0,0.567,1.04,0.0719,0.1739,0.044,51.0,364.0,0.023,0.183,1.28,0.008,0.203,64.0
JSPHTLS(V),NVD,107.0,1580.0,1505.0,132.0,1300.0,25.0,3967.0,0.145,1.07,0.07,0.162,0.075,51.0,314.5,0.041,0.172,1.29,0.014,0.197,64.0
JSPHTLS(V),NVD,99.0,1580.0,1505.0,132.0,1300.0,25.0,3979.0,0.076,1.16,0.068,0.196,0.081,51.0,288.1,0.037,0.174,1.24,0.012,0.186,64.0
JSPHTLS(V),NVD,99.0,1590.0,1505.0,132.0,1400.0,25.0,3617.0,0.088,1.15,0.065,0.167,0.062,54.0,364.0,0.038,0.181,1.29,0.0129,0.188,64.0
JSPHTLS(V),NVD,93.0,1592.0,1505.0,132.0,1450.0,25.0,3416.0,0.497,1.02,0.055,0.151,0.035,51.0,360.7,0.033,0.171,1.27,0.005,0.189,64.0
SA350GRLF2,VD,103.0,1610.0,1505.0,66.0,150.0,25.0,4449.0,0.56,0.7,0.049,0.079,0.1,51.0,199.0,0.038,0.203,1.26,0.004,0.216,64.0
SAE10B21S,VD,96.0,1575.0,1505.0,132.0,1200.0,25.0,3655.0,0.584,0.67,0.047,0.099,0.08,51.0,347.5,0.04,0.176,0.83,0.006,0.123,61.0
SA350GRLF2,VD,100.0,1575.0,1505.0,66.0,1500.0,25.0,3899.0,0.587,0.69,0.049,0.1419,0.043,54.0,256.75,0.033,0.202,1.22,0.005,0.216,63.0
SAE10B21S,VD,100.0,1570.0,1505.0,132.0,1350.0,25.0,4249.0,0.583,0.69,0.0609,0.112,0.075,53.0,347.5,0.035,0.188,0.84,0.005,0.1489,61.0
SA350GRLF2,VD,100.0,1575.0,1505.0,132.0,1350.0,25.0,3957.0,0.574,0.63,0.08,0.069,0.053,51.0,338.26,0.027,0.191,1.23,0.007,0.2079,64.0
SA350GRLF2,VD,99.0,1570.0,1505.0,66.0,1400.0,25.0,4060.0,0.571,0.74,0.081,0.0729,0.04,53.0,347.5,0.038,0.182,1.26,0.004,0.259,60.0
SA350GRLF2,VD,107.0,1564.0,1505.0,132.0,1500.0,25.0,3670.0,0.076,0.71,0.069,0.152,0.039,53.0,347.5,0.009,0.183,1.22,0.005,0.2109,58.0
SA350GRLF2,VD,99.0,1575.0,1505.0,132.0,1300.0,25.0,3457.0,0.129,0.69,0.0709,0.129,0.014,53.0,436.6,0.031,0.201,1.25,0.006,0.258,63.0
SAE1018,NVD,99.0,1610.0,1505.0,132.0,1200.0,25.0,3434.0,0.05,0.48,0.0729,0.033,0.051,55.0,360.7,0.036,0.165,0.66,0.0089,0.0919,73.0
SA350GRLF2,VD,93.0,1560.0,1505.0,187.0,1400.0,25.0,3605.0,0.056,0.75,0.058,0.164,0.059,55.0,356.3,0.029,0.202,1.21,0.005,0.229,64.0
SAE1018,NVD,103.0,1615.0,1505.0,178.0,1200.0,25.0,3570.0,0.54,0.52,0.0519,0.0439,0.033,55.0,391.85,0.046,0.164,0.65,0.0129,0.0739,64.0
SA350GRLF2,VD,96.0,1560.0,1505.0,178.0,1350.0,25.0,3819.0,0.567,0.66,0.066,0.133,0.066,54.0,390.86,0.034,0.215,1.26,0.004,0.2059,58.0
SA350GRLF2,VD,100.0,1560.0,1505.0,132.0,1400.0,25.0,3583.0,0.575,0.68,0.08,0.134,0.037,55.0,410.2,0.045,0.205,1.23,0.004,0.226,61.0
SA350GRLF2,VD,100.0,1560.0,1505.0,132.0,1500.0,25.0,3611.0,0.567,0.75,0.07,0.155,0.06,53.0,313.18,0.044,0.21,1.24,0.004,0.224,66.0
SA350GRLF2,VD,100.0,1565.0,1505.0,132.0,1350.0,25.0,3427.0,0.57,1.01,0.0529,0.129,0.067,55.0,301.3,0.037,0.203,1.25,0.002,0.201,61.0
SAE1018,NVD,99.0,1575.0,1505.0,178.0,1200.0,25.0,3499.0,0.925,0.47,0.0599,0.0509,0.081,61.0,377.0,0.037,0.165,0.64,0.007,0.0769,71.0
SA350GRLF2,VD,107.0,1560.0,1505.0,176.0,1100.0,25.0,3550.0,0.367,0.79,0.049,0.116,0.09,53.0,367.41,0.032,0.204,1.23,0.003,0.2379,60.0
SAE1018,NVD,99.0,1580.0,1505.0,154.0,1100.0,25.0,3936.0,0.092,0.49,0.058,0.049,0.067,61.0,336.5,0.043,0.169,0.65,0.0129,0.065,68.0
SAE10B21,VD,99.0,1570.0,1505.0,154.0,1600.0,25.0,4105.0,0.542,0.53,0.067,0.105,0.022,58.0,468.5,0.036,0.194,0.87,0.004,0.1789,61.0
SAE10B21,VD,93.0,1580.0,1505.0,154.0,1650.0,25.0,3770.0,0.575,0.67,0.065,0.14,0.057,70.0,475.1,0.035,0.194,0.85,0.003,0.215,64.0
SAE10B21,VD,103.0,1600.0,1505.0,132.0,1300.0,25.0,4468.0,0.593,0.68,0.069,0.138,0.12,51.0,265.0,0.036,0.188,0.84,0.005,0.195,61.0
SAE10B21,VD,96.0,1575.0,1505.0,132.0,1100.0,25.0,3880.0,0.574,0.63,0.0589,0.133,0.115,63.0,397.0,0.023,0.196,0.87,0.004,0.199,61.0
SAE10B21,VD,100.0,1570.0,1505.0,154.0,1600.0,25.0,4476.0,0.853,0.01,0.07,0.01,0.036,63.0,468.5,0.041,0.201,0.86,0.004,0.197,61.0
SA350GRLF2,VD,100.0,1610.0,1505.0,178.0,1200.0,50.0,3811.0,0.406,0.59,0.056,0.125,0.088,61.0,327.5,0.041,0.203,1.24,0.006,0.2079,61.0
SAE10B21,VD,100.0,1580.0,1505.0,156.0,1200.0,50.0,3737.0,0.156,0.64,0.0439,0.1419,0.102,57.0,355.0,0.036,0.196,0.84,0.005,0.2129,63.0
SA350GRLF2,VD,99.0,1570.0,1505.0,132.0,1150.0,25.0,3388.0,0.056,0.67,0.0449,0.138,0.052,53.0,354.1,0.028,0.202,1.23,0.005,0.223,58.0
SAE10B21,VD,107.0,1575.0,1505.0,132.0,1100.0,25.0,3678.0,0.492,0.65,0.0306,0.0965,0.063,63.0,397.0,0.032,0.199,0.85,0.005,0.19,61.0
SA350GRLF2,VD,99.0,1565.0,1505.0,132.0,1150.0,50.0,3654.0,0.554,0.65,0.031,0.097,0.063,63.0,347.5,0.036,0.201,1.25,0.005,0.223,60.0
SAE10B21,VD,99.0,1580.0,1505.0,132.0,1250.0,50.0,3755.0,0.593,0.59,0.04,0.115,0.05,61.0,413.5,0.033,0.197,0.88,0.008,0.219,64.0
SA350GRLF2,VD,93.0,1575.0,1505.0,132.0,1200.0,50.0,3240.0,0.602,0.67,0.058,0.1489,0.066,64.0,324.4,0.034,0.22,1.23,0.005,0.2099,57.0
SA350GRLF2,VD,103.0,1580.0,1505.0,132.0,1350.0,50.0,3886.0,0.6,0.64,0.056,0.136,0.066,66.0,364.0,0.041,0.205,1.23,0.005,0.2419,60.0
SAE1018,NVD,96.0,1608.0,1505.0,132.0,1200.0,25.0,3977.0,0.576,0.52,0.056,0.0439,0.162,58.0,298.0,0.04,0.168,0.67,0.008,0.084,67.0
SA350GRLF2,VD,100.0,1575.0,1505.0,132.0,1100.0,25.0,4150.0,0.887,0.72,0.063,0.157,0.064,63.0,314.5,0.036,0.205,1.24,0.006,0.253,57.0
SAE1018,NVD,100.0,1575.0,1505.0,132.0,1200.0,25.0,3860.0,0.421,0.55,0.07,0.0459,0.073,57.0,284.8,0.035,0.165,0.64,0.0129,0.0759,61.0
SA350GRLF2,VD,100.0,1565.0,1505.0,132.0,1300.0,25.0,3693.0,0.089,0.7,0.057,0.159,0.124,54.0,265.0,0.033,0.202,1.22,0.005,0.248,57.0
SA350GRLF2,VD,99.0,1570.0,1505.0,132.0,1320.0,25.0,3934.0,0.113,0.71,0.048,0.161,0.154,63.0,265.0,0.039,0.198,1.22,0.007,0.2419,55.0
SA350GRLF2,VD,107.0,1565.0,1505.0,178.0,1300.0,25.0,3969.0,0.262,0.69,0.034,0.1419,0.055,61.0,311.0,0.036,0.204,1.24,0.004,0.272,67.0
HC61/65,NVD,99.0,1576.0,1505.0,0.0,1200.0,25.0,3701.0,0.266,0.48,0.04,0.1179,0.001,51.0,100.0,0.004,0.635,0.68,0.014,0.227,67.0
SA350GRLF2,VD,99.0,1566.0,1505.0,132.0,1250.0,25.0,3271.0,0.268,0.72,0.0609,0.1419,0.048,54.0,284.8,0.033,0.2,1.24,0.004,0.234,55.0
SA350GRLF3,VD,93.0,1568.0,1505.0,132.0,1350.0,25.0,3572.0,0.269,0.69,0.0519,0.1429,0.047,51.0,364.0,0.04,0.196,1.22,0.004,0.2399,57.0
HC61/65,NVD,103.0,1560.0,1505.0,0.0,1200.0,25.0,3699.0,0.268,0.55,0.057,0.139,0.009,50.0,100.0,0.004,0.615,0.66,0.012,0.215,64.0
SA350GRLF3,VD,96.0,1569.0,1505.0,132.0,1300.0,25.0,3559.0,0.645,0.75,0.0589,0.1769,0.047,48.0,331.0,0.032,0.205,1.24,0.005,0.232,58.0
SA350GRLF3,VD,100.0,1568.0,1505.0,178.0,1350.0,25.0,3680.0,0.105,0.81,0.0609,0.191,0.024,51.0,380.3,0.032,0.209,1.24,0.004,0.229,63.0
SA350GRLF3,VD,100.0,1565.0,1505.0,178.0,1250.0,25.0,3453.0,0.249,0.8,0.055,0.161,0.016,47.0,426.5,0.035,0.189,1.25,0.004,0.2419,57.0
SA350GRLF3,VD,100.0,1565.0,1505.0,178.0,1400.0,25.0,3441.0,0.254,0.65,0.0589,0.0599,0.017,54.0,475.67,0.031,0.196,1.23,0.006,0.221,57.0
SAE10B21-S,VD,99.0,1592.0,1505.0,132.0,1450.0,25.0,3581.0,0.261,0.58,0.0599,0.065,0.055,54.0,383.8,0.034,0.185,0.87,0.004,0.128,57.0
SAE10B21-S,VD,107.0,1580.0,1505.0,178.0,1400.0,25.0,3531.0,0.267,0.6,0.063,0.0919,0.044,54.0,483.26,0.035,0.185,0.84,0.003,0.167,58.0
SAE10B21-S,VD,99.0,1570.0,1505.0,132.0,1200.0,25.0,3208.0,0.275,0.64,0.062,0.078,0.037,51.0,380.5,0.028,0.178,0.87,0.007,0.127,58.0
SAE10B21-S,VD,99.0,1570.0,1505.0,178.0,1550.0,25.0,3307.0,0.45,0.56,0.068,0.048,0.007,48.0,507.35,0.038,0.183,0.82,0.006,0.16,60.0
SA350GRLF2,VD,93.0,1600.0,1505.0,132.0,1400.0,25.0,3959.0,0.122,0.64,0.0709,0.078,0.073,51.0,338.26,0.046,0.201,1.24,0.007,0.2069,61.0
SAE10B21,VD,103.0,1575.0,1505.0,178.0,1200.0,25.0,3764.0,0.21,0.64,0.064,0.1409,0.057,55.0,410.0,0.038,0.185,0.83,0.004,0.2079,55.0
SA350GRLF2,VD,96.0,1595.0,1505.0,178.0,1200.0,25.0,3647.0,0.257,0.76,0.062,0.14,0.019,51.0,459.5,0.036,0.19,1.22,0.0089,0.216,57.0
SAE10B21,VD,100.0,1580.0,1505.0,154.0,1300.0,25.0,3737.0,0.243,0.65,0.0439,0.133,0.094,55.0,320.0,0.038,0.189,0.86,0.005,0.196,60.0
SA350GRLF2,VD,100.0,1560.0,1505.0,178.0,1450.0,25.0,3787.0,0.285,0.69,0.0599,0.125,0.051,47.0,363.8,0.029,0.21,1.24,0.005,0.2049,57.0
SA350GRLF2,VD,100.0,1560.0,1505.0,178.0,1400.0,25.0,4254.0,0.288,0.68,0.069,0.115,0.005,45.0,542.0,0.027,0.209,1.23,0.004,0.22,60.0
SA105,VD,99.0,1562.0,1505.0,178.0,1400.0,25.0,3701.0,0.285,0.83,0.062,0.166,0.097,54.0,410.0,0.036,0.199,1.25,0.005,0.231,61.0
HC88BX,VD,107.0,1545.0,1505.0,0.0,1000.0,25.0,3326.0,0.266,0.63,0.0589,0.128,0.0,50.0,100.0,0.002,0.867,0.73,0.006,0.1809,54.0
SA105,VD,99.0,1565.0,1505.0,132.0,1100.0,25.0,3757.0,0.537,1.01,0.0621,0.2373,0.168,55.0,364.0,0.032,0.196,1.26,0.004,0.248,58.0
SA105,VD,99.0,1570.0,1505.0,178.0,1350.0,25.0,3966.0,0.191,0.58,0.057,0.1029,0.033,44.0,360.5,0.031,0.199,1.26,0.004,0.198,54.0
HC88BX,VD,93.0,1535.0,1505.0,0.0,1000.0,25.0,3967.0,0.059,0.59,0.047,0.123,0.001,51.0,100.0,0.003,0.856,0.76,0.004,0.2,57.0
SA105,VD,103.0,1570.0,1505.0,178.0,1300.0,25.0,3681.0,0.109,0.87,0.04,0.1769,0.068,53.0,360.5,0.043,0.196,1.27,0.004,0.2359,57.0
SA105,VD,96.0,1565.0,1505.0,178.0,1300.0,25.0,3605.0,0.255,0.83,0.0439,0.182,0.069,61.0,377.0,0.035,0.201,1.27,0.005,0.2343,61.0
SA105,VD,100.0,1560.0,1505.0,178.0,1600.0,25.0,3708.0,0.241,0.82,0.056,0.16,0.061,58.0,426.5,0.035,0.193,1.28,0.006,0.225,57.0
SA105,VD,100.0,1560.0,1505.0,178.0,1200.0,25.0,3606.0,0.26,0.87,0.063,0.162,0.039,61.0,426.5,0.031,0.221,1.26,0.007,0.2409,57.0
SAE1010,NVD,100.0,1620.0,1505.0,132.0,1400.0,25.0,3239.0,0.26,0.25,0.0539,0.0589,0.031,54.0,406.9,0.032,0.092,0.36,0.007,0.123,58.0
SA105,VD,99.0,1560.0,1505.0,132.0,1100.0,25.0,3384.0,0.258,0.64,0.049,0.085,0.011,51.0,453.1,0.023,0.214,1.27,0.0089,0.231,63.0
SAE1010,NVD,107.0,1600.0,1505.0,178.0,1300.0,25.0,4233.0,0.264,0.27,0.0739,0.042,0.01,50.0,525.5,0.03,0.105,0.38,0.007,0.123,58.0
SAE1010,NVD,99.0,1590.0,1505.0,178.0,1340.0,50.0,4341.0,0.074,0.28,0.07,0.056,0.087,57.0,443.0,0.037,0.102,0.36,0.008,0.1029,61.0
SA105,VD,99.0,1560.0,1505.0,178.0,1350.0,50.0,4190.0,0.077,0.87,0.049,0.1789,0.033,60.0,393.5,0.037,0.21,1.25,0.005,0.274,57.0
SA105,VD,93.0,1560.0,1505.0,178.0,1300.0,50.0,2864.0,0.236,0.28,0.0459,0.047,0.029,60.0,383.6,0.025,0.202,1.28,0.005,0.229,57.0
SA105,VD,103.0,1610.0,1505.0,178.0,1250.0,50.0,3687.0,0.235,0.67,0.042,0.138,0.052,51.0,364.79,0.037,0.215,1.3,0.005,0.246,55.0
SA105,VD,96.0,1580.0,1505.0,178.0,1320.0,50.0,3682.0,0.238,0.66,0.047,0.105,0.017,51.0,410.0,0.024,0.206,1.3,0.005,0.216,63.0
SA105,VD,100.0,1568.0,1505.0,178.0,1200.0,50.0,3538.0,0.243,0.63,0.05,0.138,0.037,51.0,327.5,0.033,0.208,1.27,0.004,0.257,54.0
SA105,VD,100.0,1570.0,1505.0,178.0,1320.0,50.0,3432.0,0.242,0.76,0.0439,0.157,0.045,54.0,443.0,0.034,0.201,1.29,0.005,0.278,57.0
SA105,VD,100.0,1565.0,1505.0,178.0,1100.0,50.0,3330.0,0.251,0.58,0.0589,0.135,0.095,51.0,360.5,0.03,0.202,1.27,0.004,0.229,54.0
SA105,VD,99.0,1565.0,1505.0,178.0,1250.0,50.0,4658.0,0.254,0.8,0.0459,0.151,0.072,54.0,340.7,0.037,0.197,1.25,0.007,0.26,58.0
SAE1010,NVD,107.0,1620.0,1505.0,178.0,1150.0,50.0,3678.0,0.26,0.28,0.058,0.055,0.05,47.0,400.1,0.042,0.104,0.35,0.008,0.097,60.0
SA105,VD,99.0,1580.0,1505.0,178.0,1300.0,50.0,3498.0,0.724,0.54,0.049,0.104,0.05,54.0,393.5,0.035,0.195,1.24,0.004,0.248,54.0
